id;task_number;title;description;acceptance_criteria;project_name;phase;phase_order;category;status;priority;assigned_to;created_by;completed_by;estimated_hours;actual_hours;started_at;completed_at;due_date;depends_on;blocks;related_table;related_entity_id;file_paths;edge_function_name;migration_required;completion_percentage;notes;pull_request_url;commit_hash;test_status;created_at;updated_at
91516d60-87ec-4e96-a962-a0f782d110f4;AQ-1.1;Create automated_searches table;Design and implement the automated_searches table with entity relationships, search configuration, and scheduling fields;"[""Table created with all required columns"",""Foreign keys to transit_agencies and service_providers"",""RLS policies implemented"",""Indexes created for performance""]";automated-queries;Phase 1;1;database;completed;critical;;;;2.00;;;2025-11-19 00:38:27.960649+00;;;;;;"[""supabase/migrations/YYYYMMDDHHMMSS_create_automated_searches.sql""]";;true;100;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:38:27.960649+00
14fe398c-f6dd-4bc1-835b-6185f5942412;AQ-1.2;Create search_results table;Implement search_results table with deduplication and processing status tracking;"[""Table created with unique constraint on search_id + source_url"",""Foreign key to automated_searches"",""Link field for pending_articles"",""RLS policies implemented""]";automated-queries;Phase 1;1;database;completed;critical;;;;1.50;;;2025-11-19 00:40:38.228643+00;;;;;;"[""supabase/migrations/YYYYMMDDHHMMSS_create_search_results.sql""]";;true;100;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:40:38.228643+00
57f3ca09-5ac3-4ac4-8b7e-f346099f3a87;AQ-1.3;Add performance indexes;Create indexes for scheduled search lookup, entity lookups, and deduplication;"[""Index on next_run_at for scheduling"",""Index on agency_id and provider_id"",""Index on source_url for deduplication"",""Query performance verified""]";automated-queries;Phase 1;1;database;completed;high;;;;1.00;;;2025-11-19 00:41:20.917422+00;;;;;;"[""supabase/migrations/YYYYMMDDHHMMSS_add_search_indexes.sql""]";;true;100;Indexes were already created during table creation in AQ-1.1 and AQ-1.2;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:41:20.917422+00
91f9f1c8-655e-463b-90e3-d8edf93c0f1f;AQ-3.1;Enable pg_cron extension;Enable and configure pg_cron extension for scheduled job execution;"[""pg_cron extension enabled"",""pg_net extension enabled"",""Permissions configured"",""Test job runs successfully""]";automated-queries;Phase 3;3;database;planned;high;;;;1.00;;;;;"[""e5fd9619-1b78-4757-a405-eeef90ab9bfa""]";;;;;;true;0;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:36:29.984192+00
94781117-1f8f-463a-8847-f6090fd314b2;AQ-3.2;Create hourly search execution cron job;Set up cron job to execute automated searches every hour;"[""Cron job scheduled for hourly execution"",""Calls execute-automated-searches function"",""Proper authentication configured"",""Monitoring enabled""]";automated-queries;Phase 3;3;database;planned;high;;;;2.00;;;;;"[""91f9f1c8-655e-463b-90e3-d8edf93c0f1f""]";;;;;;true;0;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:36:29.984192+00
9149ce2a-c4df-464a-970c-cf39f1d1236e;AQ-3.3;Create daily query regeneration cron job;Set up cron job to regenerate search queries daily;"[""Cron job scheduled for daily execution"",""Calls generate-targeted-searches function"",""Updates existing searches"",""Deactivates stale searches""]";automated-queries;Phase 3;3;database;planned;medium;;;;1.50;;;;;"[""91f9f1c8-655e-463b-90e3-d8edf93c0f1f""]";;;;;;true;0;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:36:29.984192+00
bd31c0f4-db38-4ac5-a5bf-0c7ad21a53e7;AQ-4.1;Create automated searches admin page;Build admin page to manage automated searches;"[""Table view of all automated searches"",""Filter by search_type, status, entity"",""Sort by next_run_at, results_count, priority"",""Pagination implemented"",""Responsive design""]";automated-queries;Phase 4;4;ui;planned;high;;;;4.00;;;;;"[""78ae9a57-bd19-4ecf-828d-9c94c7949e30""]";;;;"[""src/pages/admin/AutomatedSearches.tsx"",""src/hooks/useAutomatedSearches.tsx""]";;false;0;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:36:29.984192+00
209a174a-c81d-4794-a38c-035ff03a63e8;AQ-4.2;Add search performance metrics dashboard;Create dashboard showing search performance and conversion rates;"[""Charts showing discoveries over time"",""Conversion rate (discoveries → pending articles)"",""Top performing search queries"",""Entity coverage metrics"",""Cost tracking (API calls)""]";automated-queries;Phase 4;4;ui;planned;medium;;;;5.00;;;;;"[""e5fd9619-1b78-4757-a405-eeef90ab9bfa""]";;;;"[""src/pages/admin/SearchMetrics.tsx"",""src/components/SearchMetricsChart.tsx""]";;false;0;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:36:29.984192+00
a0f330b6-6b62-4332-9e43-455115ff1b04;AQ-4.3;Add manual trigger functionality;Allow admins to manually trigger search execution;"[""Button to trigger generate-targeted-searches"",""Button to trigger execute-automated-searches"",""Button to trigger process-search-results"",""Loading states during execution"",""Success/error notifications"",""Confirmation dialogs""]";automated-queries;Phase 4;4;ui;planned;medium;;;;3.00;;;;;"[""bd31c0f4-db38-4ac5-a5bf-0c7ad21a53e7""]";;;;"[""src/pages/admin/AutomatedSearches.tsx""]";;false;0;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:36:29.984192+00
c6441ada-d87b-44f8-8966-1e1efb951ae1;AQ-4.4;Link articles to source searches;Show which automated search discovered each article;"[""Badge on pending articles showing source search"",""Filter pending articles by search source"",""Link from article to search details"",""Search attribution preserved after approval""]";automated-queries;Phase 4;4;ui;planned;low;;;;2.00;;;;;"[""4949bb6d-3b9d-4b95-a9e0-6c4de4580194""]";;;;"[""src/pages/admin/PendingArticles.tsx"",""src/components/SearchSourceBadge.tsx""]";;false;0;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:36:29.984192+00
ff7bb28a-92ef-4bd1-93d1-a446ec99de70;AQ-4.5;Search query editor;Build interface to edit and test search queries;"[""Form to edit search_query and parameters"",""Test button to preview results"",""Activate/deactivate searches"",""Adjust frequency and priority"",""Input validation""]";automated-queries;Phase 4;4;ui;planned;medium;;;;4.00;;;;;"[""bd31c0f4-db38-4ac5-a5bf-0c7ad21a53e7""]";;;;"[""src/pages/admin/AutomatedSearchForm.tsx""]";;false;0;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:36:29.984192+00
78ae9a57-bd19-4ecf-828d-9c94c7949e30;AQ-2.1;Create generate-targeted-searches edge function;Build edge function to query agencies/providers and generate targeted search queries;"[""Function queries transit_agencies table"",""Function queries service_providers table"",""Generates agency-specific searches"",""Generates provider-specific searches"",""Generates vertical/keyword searches"",""Admin authentication enforced"",""Proper error handling and logging""]";automated-queries;Phase 2;2;edge-function;completed;critical;;;;4.00;;;2025-11-19 00:42:01.280394+00;;"[""91516d60-87ec-4e96-a962-a0f782d110f4""]";;;;"[""supabase/functions/generate-targeted-searches/index.ts""]";generate-targeted-searches;false;100;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:42:01.280394+00
e5fd9619-1b78-4757-a405-eeef90ab9bfa;AQ-2.2;Create execute-automated-searches edge function;Build edge function to execute scheduled searches using Exa API;"[""Finds searches ready to run"",""Calls Exa API with search queries"",""Handles API errors gracefully"",""Inserts results with deduplication"",""Updates scheduling fields"",""Logs to discovery_runs"",""Respects rate limits""]";automated-queries;Phase 2;2;edge-function;completed;critical;;;;5.00;;;2025-11-19 18:43:14.121068+00;;"[""91516d60-87ec-4e96-a962-a0f782d110f4"",""14fe398c-f6dd-4bc1-835b-6185f5942412""]";;;;"[""supabase/functions/execute-automated-searches/index.ts""]";execute-automated-searches;false;0;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 18:43:14.121068+00
4949bb6d-3b9d-4b95-a9e0-6c4de4580194;AQ-2.3;Create process-search-results edge function;Build edge function to convert search results into pending articles;"[""Finds unprocessed search_results"",""Checks for duplicates in pending_articles"",""Calls transform-article for new URLs"",""Creates pending_articles records"",""Links search_result to pending_article"",""Marks results as processed"",""Proper error handling""]";automated-queries;Phase 2;2;edge-function;completed;high;;;;4.00;;;2025-11-20 01:22:03.692501+00;;"[""e5fd9619-1b78-4757-a405-eeef90ab9bfa""]";;;;"[""supabase/functions/process-search-results/index.ts""]";process-search-results;false;100;Edge function created to process search results, extract content via Firecrawl, analyze with AI, and add high-quality articles to pending_articles;;;;2025-11-19 00:36:29.984192+00;2025-11-20 01:22:03.692501+00
b0b9e14a-6446-47ae-864d-c80d619e8ae7;AQ-5.1;Test with pilot batch of agencies;Run system with 10 high-priority agencies;"[""Select 10 diverse transit agencies"",""Generate searches for pilot agencies"",""Execute searches and monitor results"",""Verify pending articles created"",""Document success rate and issues""]";automated-queries;Phase 5;5;testing;planned;high;;;;3.00;;;;;"[""78ae9a57-bd19-4ecf-828d-9c94c7949e30"",""e5fd9619-1b78-4757-a405-eeef90ab9bfa"",""4949bb6d-3b9d-4b95-a9e0-6c4de4580194""]";;;;;;false;0;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:36:29.984192+00
075b4bb3-16c0-4d72-9887-e94b273dfccd;AQ-5.2;Monitor conversion rates;Track and analyze discovery-to-article conversion;"[""Measure discovery → pending article rate"",""Measure pending → published article rate"",""Identify low-performing searches"",""Document quality of AI extractions"",""Create performance baseline""]";automated-queries;Phase 5;5;testing;planned;high;;;;2.00;;;;;"[""b0b9e14a-6446-47ae-864d-c80d619e8ae7""]";;;;;;false;0;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:36:29.984192+00
ceffe6d7-de81-40f1-9600-65267a8b909a;AQ-5.3;Optimize search queries;Refine queries based on performance data;"[""Adjust queries with low hit rates"",""Add exclusion terms to reduce noise"",""Test vertical-specific variations"",""Update search parameters"",""A/B test query variations""]";automated-queries;Phase 5;5;testing;planned;medium;;;;4.00;;;;;"[""075b4bb3-16c0-4d72-9887-e94b273dfccd""]";;;;;;false;0;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:36:29.984192+00
86722724-26dd-458e-af00-0abef0e49200;AQ-5.4;Tune relevance scoring;Adjust AI confidence thresholds and filters;"[""Analyze false positives"",""Adjust AI confidence threshold"",""Refine entity extraction"",""Improve category classification"",""Document tuning decisions""]";automated-queries;Phase 5;5;testing;planned;medium;;;;3.00;;;;;"[""075b4bb3-16c0-4d72-9887-e94b273dfccd""]";;;;;;false;0;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:36:29.984192+00
c1aea803-bbe2-4b3b-8335-db90ad0e6123;AQ-5.5;Create workflow documentation;Document system for team and future reference;"[""System architecture diagram"",""Admin user guide"",""Troubleshooting guide"",""Query optimization guide"",""Update DATABASE_SCHEMA.md""]";automated-queries;Phase 5;5;documentation;planned;high;;;;4.00;;;;;"[""86722724-26dd-458e-af00-0abef0e49200""]";;;;;;false;0;;;;;2025-11-19 00:36:29.984192+00;2025-11-19 00:36:29.984192+00
3b92cf84-ad9d-42db-97d6-4e18c4f720a4;TASK-AGT-001;Create agent state management tables with Realtime;Implement database tables for agent state (agent_sessions, research_resources, agent_logs) with Supabase Realtime subscriptions for bidirectional state sync between edge functions and React UI. Include session tracking, resource lists, and progress logs.;"[""Tables created: agent_sessions, research_resources, agent_logs"",""Realtime publication enabled on all agent tables"",""Migration includes proper indexes and foreign keys"",""RLS policies configured for authenticated users""]";automated-queries;Backend Architecture;1;database;planned;high;;;;;;;;;;;agent_sessions;;"[""supabase/migrations/*_agent_state_tables.sql""]";;false;0;;;;;2025-11-20 04:53:43.06716+00;2025-11-20 04:53:43.06716+00
f26ced59-2ff7-4af2-9ab4-d778c7521ead;TASK-AGT-002;Implement SSE streaming for edge function logs;Create Server-Sent Events (SSE) endpoint in edge function for real-time log streaming during agent execution. Use SSE for immediate progress updates, then persist final state to database. Include proper error handling and connection management.;"[""SSE endpoint returns proper text/event-stream headers"",""Logs stream in real-time during agent execution"",""Final state persisted to agent_sessions table"",""Client-side EventSource handles reconnection"",""CORS headers configured correctly""]";automated-queries;Backend Architecture;2;edge-function;planned;high;;;;;;;;;;;;;"[""supabase/functions/agent-research/index.ts"",""supabase/functions/_shared/sse.ts""]";;false;0;;;;;2025-11-20 04:53:43.06716+00;2025-11-20 04:53:43.06716+00
